marca,modelo,precio_soles,stock,tienda,Categoria
Lenovo,IdeaPad Slim 3,2319,17,Piura,Oficina
ASUS,Zenbook 14,4338,18,Miraflores,Gaming
Apple,MacBook Air M3,5715,39,Arequipa,Premium
Dell,Inspiron 15,3406,57,Arequipa,Profesional
ASUS,Vivobook 15,2942,36,Miraflores,Profesional
MSI,Katana 15,5485,29,Los Olivos,Gaming
Dell,Inspiron 15,2780,20,Arequipa,Profesional
HP,15-fd,2635,51,Arequipa,Profesional
Lenovo,ThinkPad E14,3443,55,San Miguel,Profesional
Apple,MacBook Air M3,5696,10,San Isidro,Premium
Apple,MacBook Air M2,4862,22,San Miguel,Gaming
HP,Pavilion 15,3262,46,Centro de Lima,Profesional
ASUS,Zenbook 14,4289,51,Los Olivos,Gaming
MSI,Katana 15,4936,31,San Isidro,Gaming
MSI,Modern 15,3039,46,Piura,Profesional
HP,Pavilion 15,3415,18,Miraflores,Profesional
Lenovo,ThinkPad E14,3970,19,Trujillo,Profesional
Lenovo,ThinkPad E14,3889,1,Los Olivos,Profesional
Apple,MacBook Air M3,6341,53,Trujillo,Premium
HP,15-fd,2379,52,Centro de Lima,Oficina
MSI,Modern 15,3142,39,San Isidro,Profesional
Acer,Nitro V 15,4492,16,Arequipa,Gaming
Acer,Aspire 5,2321,37,Arequipa,Oficina
Dell,Vostro 3520,2831,51,Chiclayo,Profesional
Apple,MacBook Air M3,6344,23,Arequipa,Premium
Lenovo,IdeaPad Slim 3,3144,41,Chiclayo,Profesional
Apple,MacBook Air M3,6183,49,Chiclayo,Premium
HP,15-fd,2564,53,Surco,Profesional
HP,Pavilion 15,3395,33,San Isidro,Profesional
Apple,MacBook Air M2,5255,38,Piura,Gaming
HP,15-fd,2234,4,Arequipa,Oficina
HP,15-fd,2658,14,Piura,Profesional
Dell,Inspiron 15,3398,17,Arequipa,Profesional
Lenovo,ThinkPad E14,3343,18,Arequipa,Profesional
Lenovo,ThinkPad E14,3136,23,Arequipa,Profesional
MSI,Modern 15,3177,51,San Miguel,Profesional
MSI,Modern 15,3542,14,Miraflores,Profesional
ASUS,Zenbook 14,4493,46,Piura,Gaming
Lenovo,ThinkPad E14,3870,23,Chiclayo,Profesional
ASUS,Vivobook 15,2605,8,Miraflores,Profesional
Dell,Inspiron 15,3033,36,Surco,Profesional
Dell,Inspiron 15,2729,57,San Miguel,Profesional
Apple,MacBook Air M2,4820,59,Chiclayo,Gaming
HP,15-fd,1868,51,San Miguel,Oficina
HP,15-fd,2448,18,Surco,Oficina
Acer,Aspire 5,2986,44,Surco,Profesional
Dell,Vostro 3520,2792,39,Miraflores,Profesional
Acer,Nitro V 15,3947,41,Miraflores,Profesional
ASUS,Vivobook 15,2703,23,Arequipa,Profesional
HP,15-fd,2302,37,Arequipa,Oficina
Lenovo,ThinkPad E14,3885,54,Miraflores,Profesional
Lenovo,IdeaPad Slim 3,2795,19,Piura,Profesional
HP,Pavilion 15,3097,25,Surco,Profesional
Dell,Inspiron 15,2968,50,Centro de Lima,Profesional
MSI,Katana 15,5274,49,Trujillo,Gaming
ASUS,Vivobook 15,2796,21,Piura,Profesional
ASUS,Zenbook 14,4468,28,San Isidro,Gaming
Lenovo,ThinkPad E14,3376,46,San Isidro,Profesional
Apple,MacBook Air M3,6451,16,Piura,Premium
Apple,MacBook Air M2,5460,40,Miraflores,Gaming
ASUS,Vivobook 15,2863,18,Arequipa,Profesional
MSI,Katana 15,5411,6,Chiclayo,Gaming
Dell,Inspiron 15,3156,41,Miraflores,Profesional
Dell,Inspiron 15,3147,33,Piura,Profesional
ASUS,Zenbook 14,4881,49,Trujillo,Gaming
MSI,Modern 15,2960,60,Trujillo,Profesional
Dell,Vostro 3520,2905,59,Los Olivos,Profesional
MSI,Modern 15,3472,5,Los Olivos,Profesional
HP,Pavilion 15,3637,32,San Isidro,Profesional
ASUS,Vivobook 15,2646,36,San Miguel,Profesional
Lenovo,IdeaPad Slim 3,3083,12,Surco,Profesional
Dell,Vostro 3520,2402,38,San Miguel,Oficina
Apple,MacBook Air M2,4970,32,Miraflores,Gaming
HP,15-fd,2012,57,Miraflores,Oficina
Acer,Aspire 5,2344,1,San Miguel,Oficina
HP,15-fd,2242,7,Los Olivos,Oficina
HP,15-fd,2364,15,Piura,Oficina
MSI,Modern 15,2977,47,Arequipa,Profesional
MSI,Katana 15,5543,10,Los Olivos,Premium
HP,15-fd,1962,17,Los Olivos,Oficina
MSI,Katana 15,5795,39,San Miguel,Premium
Dell,Inspiron 15,2667,7,San Isidro,Profesional
ASUS,Vivobook 15,2918,10,San Isidro,Profesional
ASUS,Zenbook 14,4805,50,Surco,Gaming
Acer,Nitro V 15,4035,35,San Miguel,Gaming
ASUS,Zenbook 14,4789,5,Miraflores,Gaming
Apple,MacBook Air M2,4654,9,Los Olivos,Gaming
Lenovo,IdeaPad Slim 3,3104,3,Los Olivos,Profesional
ASUS,Zenbook 14,4244,41,San Isidro,Gaming
MSI,Modern 15,3202,20,Trujillo,Profesional
MSI,Katana 15,5736,48,Los Olivos,Premium
Lenovo,ThinkPad E14,3440,43,Arequipa,Profesional
HP,15-fd,1992,37,San Miguel,Oficina
Acer,Aspire 5,2924,53,Trujillo,Profesional
ASUS,Vivobook 15,2267,12,San Miguel,Oficina
ASUS,Zenbook 14,4278,26,Centro de Lima,Gaming
Dell,Vostro 3520,2871,21,Miraflores,Profesional
Lenovo,ThinkPad E14,3344,3,Piura,Profesional
HP,Pavilion 15,3278,29,Chiclayo,Profesional
HP,15-fd,2306,14,Los Olivos,Oficina
Acer,Aspire 5,2624,18,Surco,Profesional
Dell,Vostro 3520,2592,41,Arequipa,Profesional
Lenovo,ThinkPad E14,3475,33,Los Olivos,Profesional
ASUS,Vivobook 15,2582,8,Trujillo,Profesional
MSI,Katana 15,5511,41,Chiclayo,Premium
HP,15-fd,2696,23,Centro de Lima,Profesional
Acer,Aspire 5,2148,59,San Miguel,Oficina
ASUS,Zenbook 14,4814,60,San Miguel,Gaming
Apple,MacBook Air M3,5996,51,Piura,Premium
HP,15-fd,2506,24,Miraflores,Profesional
Acer,Nitro V 15,3970,45,Centro de Lima,Profesional
Apple,MacBook Air M2,5148,2,Arequipa,Gaming
Dell,Inspiron 15,2750,34,Los Olivos,Profesional
ASUS,Zenbook 14,4905,40,Miraflores,Gaming
Dell,Inspiron 15,2920,16,Centro de Lima,Profesional
Apple,MacBook Air M2,4741,15,Arequipa,Gaming
Acer,Aspire 5,2983,39,Centro de Lima,Profesional
MSI,Modern 15,2807,3,Surco,Profesional
Acer,Nitro V 15,3685,16,Surco,Profesional
HP,15-fd,2190,16,Los Olivos,Oficina
HP,15-fd,2519,34,San Miguel,Profesional
ASUS,Vivobook 15,2453,12,Centro de Lima,Oficina
Dell,Vostro 3520,2814,34,Miraflores,Profesional
HP,15-fd,2047,19,San Miguel,Oficina
Acer,Aspire 5,2477,14,Chiclayo,Oficina
Lenovo,IdeaPad Slim 3,2577,57,Chiclayo,Profesional
Dell,Vostro 3520,2966,48,Trujillo,Profesional
Acer,Nitro V 15,3689,17,San Isidro,Profesional
HP,15-fd,1986,52,Chiclayo,Oficina
Dell,Inspiron 15,2999,29,Piura,Profesional
Apple,MacBook Air M2,5229,24,Centro de Lima,Gaming
HP,15-fd,2158,40,Miraflores,Oficina
Dell,Vostro 3520,2883,6,Piura,Profesional
HP,Pavilion 15,3512,41,Los Olivos,Profesional
Apple,MacBook Air M3,5850,22,San Miguel,Premium
Acer,Aspire 5,2707,14,Piura,Profesional
Apple,MacBook Air M2,4868,36,Los Olivos,Gaming
ASUS,Zenbook 14,4311,9,Surco,Gaming
Lenovo,ThinkPad E14,3949,23,Surco,Profesional
MSI,Modern 15,3252,43,Trujillo,Profesional
HP,Pavilion 15,3274,27,Miraflores,Profesional
ASUS,Vivobook 15,3059,30,Los Olivos,Profesional
Apple,MacBook Air M3,5990,34,San Isidro,Premium
Apple,MacBook Air M2,4761,52,Piura,Gaming
HP,Pavilion 15,2994,41,Trujillo,Profesional
Dell,Vostro 3520,2681,27,Centro de Lima,Profesional
HP,15-fd,1900,31,San Miguel,Oficina
Apple,MacBook Air M2,4853,10,Piura,Gaming
HP,15-fd,2443,27,Centro de Lima,Oficina
Lenovo,ThinkPad E14,3210,55,San Miguel,Profesional
Lenovo,ThinkPad E14,3577,36,Chiclayo,Profesional
HP,15-fd,2573,55,Surco,Profesional
Lenovo,IdeaPad Slim 3,2431,50,Surco,Oficina
MSI,Katana 15,5710,29,Los Olivos,Premium
Acer,Nitro V 15,3629,45,Arequipa,Profesional
Lenovo,ThinkPad E14,3970,11,Piura,Profesional
Dell,Inspiron 15,3474,53,Miraflores,Profesional
Apple,MacBook Air M3,6041,36,Surco,Premium
Apple,MacBook Air M3,6233,53,San Isidro,Premium
Acer,Nitro V 15,3645,38,San Miguel,Profesional
Acer,Aspire 5,2225,44,Trujillo,Oficina
Lenovo,ThinkPad E14,3587,31,Trujillo,Profesional
MSI,Katana 15,5127,37,San Isidro,Gaming
Dell,Inspiron 15,3301,42,Miraflores,Profesional
Apple,MacBook Air M3,6306,36,Chiclayo,Premium
Lenovo,IdeaPad Slim 3,3050,49,Chiclayo,Profesional
HP,Pavilion 15,3322,14,Los Olivos,Profesional
Apple,MacBook Air M3,5769,32,Trujillo,Premium
HP,15-fd,2084,57,Chiclayo,Oficina
Lenovo,ThinkPad E14,3421,1,Chiclayo,Profesional
MSI,Modern 15,3223,34,Centro de Lima,Profesional
Lenovo,IdeaPad Slim 3,2954,35,Surco,Profesional
Apple,MacBook Air M3,5857,42,Piura,Premium
HP,Pavilion 15,3610,50,Piura,Profesional
MSI,Modern 15,2896,15,Surco,Profesional
ASUS,Vivobook 15,2900,44,Los Olivos,Profesional
Acer,Aspire 5,2829,2,Chiclayo,Profesional
Lenovo,ThinkPad E14,3864,50,Trujillo,Profesional
ASUS,Vivobook 15,2811,17,Miraflores,Profesional
Lenovo,ThinkPad E14,3244,22,Surco,Profesional
HP,Pavilion 15,3141,53,Trujillo,Profesional
Apple,MacBook Air M2,5288,9,Piura,Gaming
Acer,Aspire 5,2148,43,San Isidro,Oficina
Acer,Aspire 5,2916,15,Chiclayo,Profesional
MSI,Katana 15,5002,22,Los Olivos,Gaming
Lenovo,ThinkPad E14,3599,2,San Isidro,Profesional
Apple,MacBook Air M2,5206,32,Trujillo,Gaming
Dell,Inspiron 15,3331,47,San Isidro,Profesional
Dell,Vostro 3520,3045,26,Miraflores,Profesional
Lenovo,IdeaPad Slim 3,2865,17,San Miguel,Profesional
Acer,Aspire 5,2211,52,Miraflores,Oficina
MSI,Katana 15,5261,52,Los Olivos,Gaming
HP,Pavilion 15,3438,8,Miraflores,Profesional
Apple,MacBook Air M3,6062,60,San Miguel,Premium
Dell,Inspiron 15,3340,47,Piura,Profesional
MSI,Katana 15,5425,20,Los Olivos,Gaming
Dell,Inspiron 15,3051,30,San Isidro,Profesional
MSI,Katana 15,5315,58,Surco,Gaming
Lenovo,IdeaPad Slim 3,2626,55,Arequipa,Profesional
Apple,MacBook Air M2,4768,9,Arequipa,Gaming
Dell,Inspiron 15,3360,31,Miraflores,Profesional
Lenovo,IdeaPad Slim 3,3198,1,San Miguel,Profesional
ASUS,Zenbook 14,4214,22,Trujillo,Gaming
Dell,Inspiron 15,3406,36,Chiclayo,Profesional
Acer,Aspire 5,2407,26,Centro de Lima,Oficina
Lenovo,ThinkPad E14,3259,6,Arequipa,Profesional
Lenovo,ThinkPad E14,3626,41,Arequipa,Profesional
MSI,Modern 15,3695,26,San Miguel,Profesional
Dell,Inspiron 15,3128,38,San Miguel,Profesional
Apple,MacBook Air M3,5690,55,Chiclayo,Premium
Dell,Vostro 3520,2802,18,San Isidro,Profesional
Lenovo,ThinkPad E14,3327,8,San Isidro,Profesional
Apple,MacBook Air M3,6373,32,Los Olivos,Premium
MSI,Modern 15,2864,43,San Isidro,Profesional
ASUS,Vivobook 15,2942,14,Los Olivos,Profesional
MSI,Katana 15,5066,26,Trujillo,Gaming
HP,15-fd,2394,5,Piura,Oficina
ASUS,Zenbook 14,4887,1,Piura,Gaming
HP,Pavilion 15,3442,6,Chiclayo,Profesional
Lenovo,IdeaPad Slim 3,2689,29,Trujillo,Profesional
ASUS,Zenbook 14,4428,42,Trujillo,Gaming
MSI,Modern 15,3690,47,Chiclayo,Profesional
Apple,MacBook Air M2,5169,14,San Miguel,Gaming
HP,15-fd,2293,20,Los Olivos,Oficina
Apple,MacBook Air M2,4955,59,Centro de Lima,Gaming
HP,Pavilion 15,3615,16,Arequipa,Profesional
ASUS,Zenbook 14,4705,44,Trujillo,Gaming
Dell,Inspiron 15,2729,21,Chiclayo,Profesional
Apple,MacBook Air M3,5833,29,Centro de Lima,Premium
Lenovo,IdeaPad Slim 3,2343,16,Piura,Oficina
MSI,Modern 15,3074,11,Los Olivos,Profesional
Lenovo,IdeaPad Slim 3,2411,37,Miraflores,Oficina
Dell,Inspiron 15,3202,1,Chiclayo,Profesional
Apple,MacBook Air M3,6191,33,Piura,Premium
HP,Pavilion 15,3203,1,San Miguel,Profesional
MSI,Katana 15,4987,40,Centro de Lima,Gaming
ASUS,Zenbook 14,4663,44,Chiclayo,Gaming
Apple,MacBook Air M2,5475,12,Piura,Gaming
Dell,Vostro 3520,3217,26,San Isidro,Profesional
Apple,MacBook Air M3,6345,19,San Isidro,Premium
HP,Pavilion 15,3449,5,Centro de Lima,Profesional
Dell,Inspiron 15,3038,36,Piura,Profesional
MSI,Katana 15,5031,48,Chiclayo,Gaming
Dell,Inspiron 15,2605,54,Surco,Profesional
Acer,Aspire 5,2656,24,Trujillo,Profesional
Lenovo,IdeaPad Slim 3,2894,37,Chiclayo,Profesional
Lenovo,ThinkPad E14,3313,4,Centro de Lima,Profesional
ASUS,Vivobook 15,2792,2,Arequipa,Profesional
Lenovo,IdeaPad Slim 3,2946,37,Los Olivos,Profesional
MSI,Katana 15,5337,53,San Miguel,Gaming
ASUS,Zenbook 14,5035,28,Chiclayo,Gaming
Lenovo,ThinkPad E14,3385,57,Chiclayo,Profesional
Acer,Nitro V 15,3924,18,Surco,Profesional
Dell,Vostro 3520,2826,27,Trujillo,Profesional
Acer,Nitro V 15,3955,40,Los Olivos,Profesional
Acer,Aspire 5,2296,18,Trujillo,Oficina
MSI,Modern 15,2903,60,Trujillo,Profesional
Lenovo,ThinkPad E14,3463,43,Trujillo,Profesional
Dell,Inspiron 15,3376,20,Chiclayo,Profesional
HP,15-fd,2121,53,San Miguel,Oficina
ASUS,Zenbook 14,4557,45,Chiclayo,Gaming
MSI,Modern 15,3115,49,Surco,Profesional
Apple,MacBook Air M3,5853,30,Centro de Lima,Premium
Acer,Nitro V 15,4320,59,Los Olivos,Gaming
Apple,MacBook Air M2,5157,21,Surco,Gaming
HP,Pavilion 15,3682,18,Surco,Profesional
HP,15-fd,2111,10,San Miguel,Oficina
Acer,Nitro V 15,4185,11,Arequipa,Gaming
Acer,Aspire 5,2276,15,Surco,Oficina
MSI,Katana 15,4967,23,Los Olivos,Gaming
MSI,Modern 15,2992,22,Piura,Profesional
Apple,MacBook Air M3,6289,9,Piura,Premium
Dell,Vostro 3520,3052,46,Centro de Lima,Profesional
HP,15-fd,2222,17,San Miguel,Oficina
ASUS,Zenbook 14,4662,15,Arequipa,Gaming
Apple,MacBook Air M2,5384,30,Trujillo,Gaming
MSI,Modern 15,3155,40,Miraflores,Profesional
Apple,MacBook Air M3,6045,28,Arequipa,Premium
ASUS,Vivobook 15,2648,54,Arequipa,Profesional
MSI,Katana 15,5296,60,Trujillo,Gaming
Acer,Aspire 5,2333,19,Centro de Lima,Oficina
Apple,MacBook Air M2,5128,50,San Isidro,Gaming
MSI,Katana 15,5550,2,Piura,Premium
Apple,MacBook Air M3,5846,50,Trujillo,Premium
Dell,Inspiron 15,3224,38,San Miguel,Profesional
ASUS,Vivobook 15,2936,32,Trujillo,Profesional
Apple,MacBook Air M2,5037,7,Miraflores,Gaming
HP,Pavilion 15,3180,52,Chiclayo,Profesional
ASUS,Vivobook 15,2741,50,Miraflores,Profesional
Apple,MacBook Air M2,4689,9,Miraflores,Gaming
Acer,Nitro V 15,4212,28,Chiclayo,Gaming
HP,15-fd,1855,35,Trujillo,Oficina
HP,Pavilion 15,3260,40,Chiclayo,Profesional
Acer,Nitro V 15,4369,8,Trujillo,Gaming
Apple,MacBook Air M2,4952,30,Miraflores,Gaming
ASUS,Zenbook 14,5076,49,Surco,Gaming
MSI,Modern 15,3594,25,Centro de Lima,Profesional
HP,Pavilion 15,3260,30,Chiclayo,Profesional
Lenovo,ThinkPad E14,3938,30,San Miguel,Profesional
MSI,Katana 15,5441,30,Piura,Gaming
MSI,Modern 15,3238,5,Piura,Profesional
ASUS,Zenbook 14,4779,42,Chiclayo,Gaming
Apple,MacBook Air M2,5387,35,Trujillo,Gaming
Apple,MacBook Air M3,6129,32,Trujillo,Premium
HP,Pavilion 15,3619,21,San Miguel,Profesional
Dell,Vostro 3520,2739,40,Trujillo,Profesional
Lenovo,ThinkPad E14,3448,3,Trujillo,Profesional
Dell,Vostro 3520,3252,6,San Isidro,Profesional
Lenovo,IdeaPad Slim 3,2395,20,Los Olivos,Oficina
MSI,Modern 15,3339,53,Chiclayo,Profesional
MSI,Modern 15,2891,40,Los Olivos,Profesional
ASUS,Vivobook 15,2241,51,Arequipa,Oficina
Apple,MacBook Air M2,5440,44,Trujillo,Gaming
MSI,Katana 15,5337,15,Piura,Gaming
ASUS,Zenbook 14,4579,2,Los Olivos,Gaming
MSI,Katana 15,5623,44,Arequipa,Premium
HP,Pavilion 15,3093,14,Surco,Profesional
ASUS,Vivobook 15,2906,49,San Miguel,Profesional
Acer,Nitro V 15,4446,21,Miraflores,Gaming
Dell,Inspiron 15,3041,24,San Miguel,Profesional
HP,15-fd,2263,11,San Isidro,Oficina
Acer,Aspire 5,2297,27,San Miguel,Oficina
Acer,Aspire 5,2151,12,Piura,Oficina
HP,Pavilion 15,3128,24,Miraflores,Profesional
Apple,MacBook Air M3,6406,43,Chiclayo,Premium
HP,Pavilion 15,3479,12,San Miguel,Profesional
Lenovo,ThinkPad E14,3754,30,Arequipa,Profesional
ASUS,Zenbook 14,4426,13,Piura,Gaming
Apple,MacBook Air M2,4965,8,Arequipa,Gaming
MSI,Katana 15,5686,45,Miraflores,Premium
ASUS,Vivobook 15,2490,31,Surco,Oficina
HP,Pavilion 15,3274,33,Centro de Lima,Profesional
Apple,MacBook Air M2,5445,9,Trujillo,Gaming
MSI,Katana 15,4990,59,Miraflores,Gaming
ASUS,Vivobook 15,2821,13,Chiclayo,Profesional
HP,15-fd,1836,28,San Miguel,Oficina
Acer,Aspire 5,2712,8,Piura,Profesional
HP,15-fd,2316,23,San Isidro,Oficina
ASUS,Zenbook 14,4737,38,Piura,Gaming
ASUS,Vivobook 15,2578,54,Los Olivos,Profesional
HP,15-fd,1800,39,San Isidro,Oficina
HP,15-fd,1847,33,Centro de Lima,Oficina
Dell,Inspiron 15,3363,4,Miraflores,Profesional
HP,15-fd,2213,3,Piura,Oficina
MSI,Katana 15,5738,32,San Miguel,Premium
ASUS,Vivobook 15,2668,29,Trujillo,Profesional
Lenovo,ThinkPad E14,3902,37,Piura,Profesional
Acer,Nitro V 15,3734,38,Centro de Lima,Profesional
Apple,MacBook Air M3,6362,14,Centro de Lima,Premium
Lenovo,ThinkPad E14,3433,59,Surco,Profesional
Acer,Aspire 5,2172,11,San Isidro,Oficina
Apple,MacBook Air M2,5091,21,Miraflores,Gaming
ASUS,Vivobook 15,2643,9,Miraflores,Profesional
Lenovo,IdeaPad Slim 3,2687,23,Piura,Profesional
HP,15-fd,2412,40,Miraflores,Oficina
HP,15-fd,2641,1,Trujillo,Profesional
MSI,Modern 15,2839,3,Surco,Profesional
Lenovo,IdeaPad Slim 3,2963,34,Trujillo,Profesional
Acer,Nitro V 15,4212,50,Los Olivos,Gaming
Apple,MacBook Air M3,5874,60,Trujillo,Premium
Acer,Aspire 5,2629,13,Miraflores,Profesional
Apple,MacBook Air M2,5376,12,Los Olivos,Gaming
ASUS,Zenbook 14,4321,34,Trujillo,Gaming
HP,Pavilion 15,3794,12,San Isidro,Profesional
Acer,Aspire 5,2544,1,Arequipa,Profesional
ASUS,Zenbook 14,4545,24,Centro de Lima,Gaming
Dell,Inspiron 15,3140,22,Piura,Profesional
MSI,Modern 15,3127,39,Arequipa,Profesional
Dell,Inspiron 15,2783,58,Arequipa,Profesional
ASUS,Vivobook 15,2471,55,Chiclayo,Oficina
Acer,Aspire 5,2642,40,Piura,Profesional
MSI,Modern 15,3118,33,San Isidro,Profesional
Apple,MacBook Air M3,6178,60,Trujillo,Premium
Acer,Nitro V 15,3695,58,Arequipa,Profesional
HP,Pavilion 15,3232,23,Piura,Profesional
Apple,MacBook Air M3,6335,49,Los Olivos,Premium
Dell,Vostro 3520,2881,20,Arequipa,Profesional
MSI,Katana 15,5674,52,Surco,Premium
MSI,Katana 15,4966,8,Arequipa,Gaming
HP,Pavilion 15,3792,16,Trujillo,Profesional
Apple,MacBook Air M2,4635,2,Trujillo,Gaming
Apple,MacBook Air M3,5621,55,Miraflores,Premium
Lenovo,IdeaPad Slim 3,2744,37,Los Olivos,Profesional
MSI,Katana 15,5050,25,Miraflores,Gaming
ASUS,Vivobook 15,2552,53,Centro de Lima,Profesional
Acer,Aspire 5,2925,43,Centro de Lima,Profesional
HP,15-fd,2470,45,San Miguel,Oficina
ASUS,Vivobook 15,2506,40,Miraflores,Profesional
Apple,MacBook Air M2,5042,1,Arequipa,Gaming
Apple,MacBook Air M2,4977,15,Piura,Gaming
Lenovo,IdeaPad Slim 3,2649,17,Surco,Profesional
ASUS,Zenbook 14,4593,51,San Miguel,Gaming
Lenovo,ThinkPad E14,3233,6,Centro de Lima,Profesional
MSI,Katana 15,5132,44,San Isidro,Gaming
Lenovo,IdeaPad Slim 3,2901,32,Piura,Profesional
Dell,Vostro 3520,2912,24,Trujillo,Profesional
HP,Pavilion 15,3506,17,Los Olivos,Profesional
ASUS,Zenbook 14,4324,21,Centro de Lima,Gaming
Apple,MacBook Air M2,5282,39,Chiclayo,Gaming
ASUS,Vivobook 15,2642,15,Chiclayo,Profesional
Apple,MacBook Air M2,5180,49,Centro de Lima,Gaming
Acer,Nitro V 15,4442,14,Los Olivos,Gaming
Lenovo,ThinkPad E14,3489,39,Chiclayo,Profesional
HP,Pavilion 15,3251,35,Los Olivos,Profesional
Dell,Inspiron 15,3374,12,Chiclayo,Profesional
ASUS,Vivobook 15,2500,54,San Miguel,Profesional
ASUS,Zenbook 14,4710,15,San Isidro,Gaming
ASUS,Vivobook 15,2821,14,Piura,Profesional
ASUS,Zenbook 14,4456,16,Los Olivos,Gaming
ASUS,Vivobook 15,2519,55,Trujillo,Profesional
Lenovo,ThinkPad E14,3217,44,Trujillo,Profesional
Apple,MacBook Air M3,6334,60,Surco,Premium
HP,15-fd,2336,1,Trujillo,Oficina
Acer,Nitro V 15,4407,24,Arequipa,Gaming
ASUS,Zenbook 14,4455,21,Surco,Gaming
ASUS,Zenbook 14,4687,53,San Miguel,Gaming
Dell,Vostro 3520,2612,53,San Isidro,Profesional
Dell,Inspiron 15,2887,44,San Isidro,Profesional
MSI,Modern 15,3530,27,Los Olivos,Profesional
ASUS,Zenbook 14,4261,54,Chiclayo,Gaming
Dell,Vostro 3520,3162,53,Miraflores,Profesional
Acer,Nitro V 15,4430,49,Surco,Gaming
MSI,Modern 15,3649,24,San Isidro,Profesional
Apple,MacBook Air M2,5141,59,San Isidro,Gaming
HP,Pavilion 15,3387,26,Surco,Profesional
Acer,Nitro V 15,3684,24,San Isidro,Profesional
Acer,Nitro V 15,3663,7,Los Olivos,Profesional
Dell,Vostro 3520,3069,6,Los Olivos,Profesional
Dell,Inspiron 15,2940,13,San Miguel,Profesional
HP,15-fd,2474,35,Chiclayo,Oficina
HP,15-fd,2538,16,Los Olivos,Profesional
Dell,Vostro 3520,3181,49,Los Olivos,Profesional
Dell,Vostro 3520,3244,29,Centro de Lima,Profesional
HP,15-fd,2044,26,Arequipa,Oficina
Dell,Inspiron 15,2786,4,Piura,Profesional
MSI,Modern 15,3483,41,San Miguel,Profesional
ASUS,Zenbook 14,4457,14,Trujillo,Gaming
Apple,MacBook Air M3,6069,38,Los Olivos,Premium
Lenovo,ThinkPad E14,3491,12,San Isidro,Profesional
HP,Pavilion 15,3050,51,Arequipa,Profesional
Apple,MacBook Air M2,4716,48,Centro de Lima,Gaming
HP,Pavilion 15,3677,51,Los Olivos,Profesional
Acer,Nitro V 15,4117,5,Miraflores,Gaming
Dell,Vostro 3520,3107,11,San Miguel,Profesional
ASUS,Zenbook 14,4713,9,Trujillo,Gaming
Acer,Nitro V 15,4423,54,Piura,Gaming
Lenovo,ThinkPad E14,3795,59,Arequipa,Profesional
Apple,MacBook Air M2,5241,44,Los Olivos,Gaming
Lenovo,ThinkPad E14,3428,58,Miraflores,Profesional
HP,Pavilion 15,3177,28,Centro de Lima,Profesional
HP,Pavilion 15,3329,23,San Isidro,Profesional
ASUS,Zenbook 14,4616,25,Chiclayo,Gaming
MSI,Katana 15,5319,10,Centro de Lima,Gaming
Lenovo,IdeaPad Slim 3,2691,5,San Isidro,Profesional
Acer,Nitro V 15,4139,25,Centro de Lima,Gaming
Lenovo,IdeaPad Slim 3,2521,40,Miraflores,Profesional
Apple,MacBook Air M3,6239,40,Chiclayo,Premium
ASUS,Zenbook 14,4366,45,Los Olivos,Gaming
Acer,Aspire 5,2227,29,Miraflores,Oficina
Apple,MacBook Air M2,4813,42,San Miguel,Gaming
HP,Pavilion 15,2980,30,Centro de Lima,Profesional
ASUS,Vivobook 15,2607,47,Centro de Lima,Profesional
Dell,Vostro 3520,2419,46,San Isidro,Oficina
HP,Pavilion 15,3641,42,Trujillo,Profesional
ASUS,Vivobook 15,3099,55,Miraflores,Profesional
Acer,Aspire 5,2490,53,Surco,Oficina
Lenovo,ThinkPad E14,3265,17,Chiclayo,Profesional
Apple,MacBook Air M3,5978,15,San Miguel,Premium
Dell,Inspiron 15,2805,51,Miraflores,Profesional
Acer,Aspire 5,2708,29,San Isidro,Profesional
ASUS,Vivobook 15,2333,47,Arequipa,Oficina
MSI,Modern 15,2930,21,Piura,Profesional
Dell,Vostro 3520,2484,11,Centro de Lima,Oficina
Lenovo,ThinkPad E14,3614,18,Piura,Profesional
Acer,Nitro V 15,3971,47,Miraflores,Profesional
Dell,Inspiron 15,3233,14,San Isidro,Profesional
MSI,Katana 15,5659,12,Arequipa,Premium
Acer,Aspire 5,2146,58,Trujillo,Oficina
Apple,MacBook Air M2,5157,40,Surco,Gaming
MSI,Katana 15,5131,29,Trujillo,Gaming
Dell,Vostro 3520,3048,13,Los Olivos,Profesional
HP,Pavilion 15,3525,28,San Miguel,Profesional
ASUS,Vivobook 15,2998,43,Trujillo,Profesional
Lenovo,ThinkPad E14,3836,45,Chiclayo,Profesional
HP,Pavilion 15,3548,28,Centro de Lima,Profesional
Dell,Inspiron 15,2784,42,Surco,Profesional
HP,Pavilion 15,3778,32,San Miguel,Profesional
Dell,Inspiron 15,3049,11,Piura,Profesional
Apple,MacBook Air M2,4678,10,Surco,Gaming
ASUS,Zenbook 14,4780,31,Miraflores,Gaming
Apple,MacBook Air M2,5371,46,Centro de Lima,Gaming
Lenovo,ThinkPad E14,3812,7,Piura,Profesional
Lenovo,IdeaPad Slim 3,2576,18,Chiclayo,Profesional
Acer,Nitro V 15,4463,24,San Miguel,Gaming
MSI,Katana 15,5237,23,Piura,Gaming
Dell,Vostro 3520,2727,4,Surco,Profesional
Dell,Vostro 3520,3021,30,Centro de Lima,Profesional
Acer,Aspire 5,2881,58,Surco,Profesional
